Year,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2015,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_LNDSL,150
2016,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_LNDSL,70
2017,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_LNDSL,48
2015,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,50
2016,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,59
2017,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,115
2015,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_CNFLCT,11
2016,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_CNFLCT,18
2017,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_CNFLCT,13
2015,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_OTHER,7
2016,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_OTHER,167
2017,CL_SERIES.VC_DSR_MORT,,CL_COMP_BREAKDOWN.HZT_OTHER,256
2015,CL_SERIES.VC_DSR_MORT,,,218
2016,CL_SERIES.VC_DSR_MORT,,,518
2017,CL_SERIES.VC_DSR_MORT,,,554
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_LNDSL,114
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_LNDSL,61
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_LNDSL,41
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,4
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,6
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,1
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,,118
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,,97
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000001,,62
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000002,CL_COMP_BREAKDOWN.HZT_LNDSL,22
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000002,,22
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000002,,1
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000002,,2
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000003,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,4
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000003,CL_COMP_BREAKDOWN.HZT_THDR_LGT_STROKE,4
2015,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000003,,4
2016,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000003,,4
2017,CL_SERIES.VC_DSR_MORT,CL_REF_AREA.GA1000003,,7
