Value,en,Disaggregation combinations using this value,Number of indicators
CL_REF_AREA.GA1000001,Kachin,9,1
CL_REF_AREA.GA1000002,Kayah,5,1
CL_REF_AREA.GA1000003,Kayin,9,1
CL_REF_AREA.GA1000004,Chin,9,1
CL_REF_AREA.GA1000005,Sagaing,9,1
CL_REF_AREA.GA1000006,Tanintharyi,7,1
CL_REF_AREA.GA1000007,Bago,7,1
CL_REF_AREA.GA1000008,Magway,9,1
CL_REF_AREA.GA1000009,Mandalay,9,1
CL_REF_AREA.GA1000010,Mon,9,1
CL_REF_AREA.GA1000011,Rakhine,10,1
CL_REF_AREA.GA1000012,Yangon,9,1
CL_REF_AREA.GA1000013,Shan,8,1
CL_REF_AREA.GA1000014,Ayeyarwady,7,1
CL_REF_AREA.GA1000015,Nay Pyi Taw,7,1
